query,context,label
비타민 C 및 P제은 어떤 약이야?,"비타민 C 및 P제는 비타민 C(아스코르빈산)와 비타민 P(루틴, 헤스페리딘 등 플라보노이드류)를 단독 또는 복합하여 함유한 제제로, 모세혈관의 투과성과 저항성을 조절하고 결합조직 형성을 돕는 역할을 합니다. 주로 괴혈병의 예방 및 치료, 모세혈관 출혈 경향(잇몸 출혈, 점상출혈 등)의 개선, 감염 예방, 항산화 작용, 철분 흡수 촉진 등의 목적으로 사용됩니다. 비타민 C는 수용성 비타민으로 과잉 섭취 시 요로결석 위험이 있으며, 비타민 P는 비타민 C의 작용을 보강하는 생리적 조절인자로 간주됩니다.",1.0
이담제이란?,"이담제는 담즙 분비를 촉진하거나 담관 운동을 개선하여 담즙 정체, 담석증, 소화불량 등의 치료에 사용되는 약물입니다. 우르소데옥시콜산(UDCA) 등이 대표적으로 사용됩니다.",1.0
기타의 종양치료제이란?,"기타의 종양치료제는 전통적인 세포독성 항암제(항대사제, 알킬화제 등)나 주요 표적항암제에 포함되지 않으면서도, 종양(악성 및 양성 포함)의 성장 억제 또는 제거를 목적으로 사용되는 다양한 기전의 약물을 포함하는 분류입니다. 면역조절제, 호르몬길항제, 항암 백신, 항체-약물 접합체(ADC), 항혈관신생제 등 새로운 형태의 종양 치료 약물이 포함됩니다. 이러한 약물들은 기존 항암제와 병용하거나, 특정 암종 또는 분자표적에 따라 선택적으로 사용됩니다.",1.0
기타의 종양치료제,"기타의 종양치료제는 전통적인 세포독성 항암제(항대사제, 알킬화제 등)나 주요 표적항암제에 포함되지 않으면서도, 종양(악성 및 양성 포함)의 성장 억제 또는 제거를 목적으로 사용되는 다양한 기전의 약물을 포함하는 분류입니다. 면역조절제, 호르몬길항제, 항암 백신, 항체-약물 접합체(ADC), 항혈관신생제 등 새로운 형태의 종양 치료 약물이 포함됩니다. 이러한 약물들은 기존 항암제와 병용하거나, 특정 암종 또는 분자표적에 따라 선택적으로 사용됩니다.",1.0
양모제이란?,"양모제는 모발의 굵기 증가, 밀도 개선, 두피 건강 증진 등을 목적으로 사용되는 제품군으로, 자양강장 성분이나 생약 추출물 등이 포함되어 있습니다. 탈모를 예방하거나 보조 치료하는 데 활용됩니다.",1.0
동맥경화용제은 어떤 약이야?,"혈관 내 콜레스테롤 축적을 억제하거나 제거하여 동맥경화를 예방 또는 치료하는 약물로, 지질강하제, 항산화제 등이 포함됩니다.",1.0
함소흡입제은 어떤 약이야?,"함소흡입제는 증류된 약용 성분을 기체 상태로 흡입시켜 호흡기 점막에 작용하도록 하는 약물로, 기침 완화, 비강 통로 개방, 염증 완화 등을 위한 한방 또는 복합제형의 흡입제가 여기에 해당합니다.",1.0
지한제의 효능은?,"과도한 발한을 억제하기 위한 약물로, 항콜린제 또는 국소 작용성 지한제가 있으며 다한증, 발한성 피부질환 등에 사용됩니다.",1.0
항결핵제의 정의가 뭐야?,"결핵균(Mycobacterium tuberculosis)을 억제하거나 사멸시키기 위해 사용되는 항균제로, 리팜피신, 이소니아지드 등이 포함됩니다.",1.0
최토제의 효능은?,"최토제는 중추 또는 말초 작용을 통해 구토 반사를 유도하는 약물로, 주로 독물 섭취 후 응급 처치로 사용됩니다. 현재는 그 사용이 제한적이며, 의료인의 판단 하에 엄격히 사용됩니다.",1.0
진토제,"진토제는 멀미, 항암제 부작용, 임신성 구토 등 다양한 원인의 구역 및 구토 증상을 완화하는 약물입니다. 주로 항히스타민제, 도파민 길항제, 세로토닌 수용체 길항제 등이 포함됩니다.",1.0
자율신경제의 효능은?,"자율신경제는 교감 및 부교감 신경계에 작용하여 심박수, 위장관 운동, 기관지 확장 등 자율신경계 기능을 조절하는 약물로, 항콜린제 및 아드레날린성 약물이 포함됩니다.",1.0
통풍치료제이란?,"통풍치료제는 요산 대사의 이상으로 발생하는 통풍의 증상을 완화하거나 재발을 예방하기 위한 약물입니다. 요산 생성을 억제하는 약물(예: 알로퓨리놀)과 요산 배설을 촉진하는 약물(예: 프로베네시드), 급성 통증 완화를 위한 소염진통제 등이 사용됩니다.",1.0
건위소화제,"건위소화제는 소화 기능을 개선하고 위장 불편 증상을 완화하기 위한 약물로, 위산 분비 조절, 위장 운동 촉진, 소화효소 보충 등의 작용을 합니다. 일반적으로 위장 장애나 소화불량에 처방됩니다.",1.0
방사성 의약품 관련 약 알려줘,"방사성 의약품은 방사성 동위원소를 포함하여 체내에 투여된 후, 진단 또는 치료 목적으로 사용되는 특수 의약품입니다. 체내 장기나 조직에 선택적으로 분포하여 해당 부위의 기능을 영상화하거나, 방사선을 이용해 암세포 등을 파괴할 수 있습니다. 진단용으로는 테크네튬-99m이나 플루오르-18 등이, 치료용으로는 요오드-131, 루테튬-177 등이 사용됩니다. 핵의학 영상검사(SPECT, PET)나 방사성동위원소 치료에 필수적인 제제로 분류됩니다.",1.0
캅셀류은 언제 써?,"캅셀류는 약물 성분을 젤라틴 등의 캡슐에 포장하여 경구 투여 시 내용물의 보호 및 서방성 조절, 복용 편의성을 향상시키기 위한 제형이며, 다양한 약효군에서 활용됩니다.",1.0
혈관수축제 관련 약 알려줘,"혈관수축제는 혈관을 수축시켜 혈압을 상승시키거나 국소 혈류를 감소시키는 약물로, 저혈압 치료, 국소 마취 보조 등에 사용됩니다. 대표적으로 에페드린, 페닐에프린이 있습니다.",1.0
난포호르몬제 및 황체호르몬제,"말라리아 치료에 사용되는 약물로, 플라스모디움 종의 생명주기를 억제하거나 제거하는 작용을 합니다. 퀴닌 유도체 계열이 대표적입니다.",0.0
기타의 신경계및 감각기관용 의약품,"당류제는 포도당(glucose), 과당(fructose), 맥아당(maltose) 등의 단당류 또는 이당류를 주요 성분으로 포함하며, 체내 에너지원 공급, 저혈당 예방 및 치료, 탈수 시 전해질 보충, 약물 운반체 등의 목적으로 사용되는 의약품입니다. 주로 경구용 시럽 또는 정맥주사용 수액 형태로 제공되며, 당질대사 이상, 수술 전후 영양공급, 간기능 저하, 저혈당 쇼크 등의 상황에서 활용됩니다. 포도당 주사제는 가장 대표적인 형태이며, 정맥영양제(TPN)에도 포함됩니다.",0.0
인공신장관류용제은 어떤 약이야?,"신장 기능이 저하된 환자의 혈액 투석 시 사용되는 특수 관류액으로, 체내 노폐물 제거와 전해질 균형 유지에 기여합니다.",1.0
혈액대용제,"혈액대용제는 출혈이나 혈액 손실 시 순환 혈액량을 일시적으로 보충하여 조직 관류를 유지하는 데 사용되는 제제입니다. 대표적으로 결정질 용액(예: 생리식염수, 링거)과 교질 용액(예: 덱스트란, 알부민 등)이 있습니다.",1.0
생물학적 제제이란?,"생물학적 제제는 생물에서 유래된 세포, 단백질, 핵산 등을 기반으로 한 의약품으로, 백신, 단클론항체, 면역조절제, 세포 치료제 등이 포함됩니다. 일반 화학의약품과 달리 고도의 정제 기술이 필요합니다.",1.0
주로 항산성균에 작용하는 것,"항산성균, 특히 결핵균과 같은 미코박테리아에 특이적으로 작용하는 항균제로, 항결핵제 등 감염성 질환의 치료에 사용됩니다.",1.0
기타의 중추신경용약,"심장의 전기 신호 이상으로 인한 불규칙한 박동(부정맥)을 정상화하기 위해 사용되는 약물로, 나트륨, 칼륨, 칼슘 채널 차단제 등이 포함됩니다.",0.0
항전간제의 정의가 뭐야?,"항전간제는 뇌의 과도한 신경 흥분을 억제하여 발작(경련)을 예방하거나 조절하기 위해 사용하는 약물입니다. 뇌전증(간질)의 다양한 유형(부분발작, 전신발작 등)에 따라 작용 기전과 선택 약물이 다르며, 신경세포의 흥분성 신경전달물질(GABA, 글루탐산 등)의 균형을 조절하는 기전으로 작용합니다. 대표 약물에는 페니토인, 발프로산, 카르바마제핀, 라모트리진, 레비티라세탐 등이 있으며, 발작 외에도 삼차신경통, 양극성 장애, 편두통 예방 등의 적응증에 사용되기도 합니다.",1.0
비루스에 작용하는 것 관련 약 알려줘,"바이러스(비루스)에 작용하는 항바이러스제는 인플루엔자, 헤르페스, HIV 등 다양한 바이러스 감염 질환의 치료에 사용되며, 바이러스의 복제 과정이나 효소 활성을 억제하는 기전으로 작용합니다.",1.0
진해거담제의 효능은?,"진해거담제는 기침을 억제하거나 가래의 배출을 용이하게 하여 호흡기 증상을 완화하는 데 사용되는 약물입니다. 진해제는 중추 또는 말초의 기침 반사를 억제하여 기침을 줄이고, 거담제는 기관지 분비물의 점도를 낮추거나 양을 증가시켜 가래가 쉽게 배출되도록 도와줍니다. 이 두 계열은 감기, 급성 기관지염, 만성 호흡기 질환(COPD, 천식 등)에서 단독 또는 병용으로 사용되며, 대표 성분으로는 진해제는 덱스트로메토르판, 코데인 등이, 거담제는 구아이페네신, 브롬헥신, 엘카르보스테인 등이 있습니다.",1.0
건위소화제(내용액제에 한함),"혈관 내 콜레스테롤 축적을 억제하거나 제거하여 동맥경화를 예방 또는 치료하는 약물로, 지질강하제, 항산화제 등이 포함됩니다.",0.0
주로 곰팡이,"주로 곰팡이에 작용하는 항진균제는 칸디다, 무좀, 진균성 피부 감염 등을 치료하며, 국소제 및 경구제 형태로 사용됩니다. 작용 기전은 세포막 구성 성분(에르고스테롤) 합성 억제 등이 있습니다.",1.0
비타민 C 및 P제,"비타민 C 및 P제는 비타민 C(아스코르빈산)와 비타민 P(루틴, 헤스페리딘 등 플라보노이드류)를 단독 또는 복합하여 함유한 제제로, 모세혈관의 투과성과 저항성을 조절하고 결합조직 형성을 돕는 역할을 합니다. 주로 괴혈병의 예방 및 치료, 모세혈관 출혈 경향(잇몸 출혈, 점상출혈 등)의 개선, 감염 예방, 항산화 작용, 철분 흡수 촉진 등의 목적으로 사용됩니다. 비타민 C는 수용성 비타민으로 과잉 섭취 시 요로결석 위험이 있으며, 비타민 P는 비타민 C의 작용을 보강하는 생리적 조절인자로 간주됩니다.",1.0
자양강장변질제의 정의가 뭐야?,"자양강장변질제는 체력 저하, 피로, 식욕 부진 등의 증상을 개선하기 위한 생약 또는 복합제제이며, 면역력 강화, 신진대사 촉진 등의 효과를 목표로 합니다. 인삼, 비타민류가 혼합된 제제가 많습니다.",1.0
주로 항산성균에 작용하는 것의 효능은?,"항산성균, 특히 결핵균과 같은 미코박테리아에 특이적으로 작용하는 항균제로, 항결핵제 등 감염성 질환의 치료에 사용됩니다.",1.0
혈관확장제 관련 약 알려줘,"혈관확장제는 혈관의 평활근을 이완시켜 혈류를 증가시키고 혈압을 낮추는 작용을 하며, 협심증, 고혈압, 심부전 등의 치료에 사용됩니다. 니트레이트계, 칼슘차단제, 알파차단제 등이 있습니다.",1.0
자궁수축제이란?,"자궁수축제는 분만 유도, 분만 후 출혈 예방 또는 치료, 낙태 목적 등으로 자궁의 평활근을 수축시키는 약물입니다. 옥시토신, 에르고노빈 등이 대표적인 성분입니다.",1.0
피부연화제(부식제를 포함),"흥분제는 각성제와 유사하게 중추신경계를 자극하여 정신적·신체적 활력을 증가시키는 약물로, 사용 목적에 따라 집중력 강화, 무기력 개선, 피로 해소 등에 활용됩니다.",0.0
주로 그람음성균에 작용하는 것의 효능은?,"그람음성균(예: 대장균, 녹농균 등)을 주요 표적으로 하는 항생제로, 아미노글리코사이드계, 세팔로스포린계, 퀴놀론계 등이 이에 해당합니다.",1.0
국소마취제,"신경의 전도를 일시적으로 차단하여 통증을 느끼지 못하게 하는 약물로, 수술이나 시술 전 특정 부위에 통증 없이 처치할 수 있도록 사용됩니다. 리도카인, 부피바카인 등이 이에 해당합니다.",1.0
비뇨생식기관용제(성병예방제포함)은 언제 써?,"비뇨기계 및 생식기관의 염증, 감염, 기능 이상을 치료하거나 예방하는 데 사용되는 약물로, 성병 예방 또는 치료제도 포함됩니다.",1.0
발한제 관련 약 알려줘,"체온 조절 및 해열 목적 등으로 땀의 분비를 유도하는 약물로, 전통적인 감기 치료 또는 독소 배출에 사용될 수 있습니다.",1.0
주로 그람양성의 효능은?,"주로 그람양성균에 작용하는 항생제는 포도상구균, 연쇄상구균 등 그람양성 세균을 선택적으로 억제 또는 살균하는 약물로, 페니실린계, 세팔로스포린계, 글리코펩타이드계 항생제가 이에 포함됩니다.",1.0
양모제,"양모제는 모발의 굵기 증가, 밀도 개선, 두피 건강 증진 등을 목적으로 사용되는 제품군으로, 자양강장 성분이나 생약 추출물 등이 포함되어 있습니다. 탈모를 예방하거나 보조 치료하는 데 활용됩니다.",1.0
진토제은 언제 써?,"진토제는 멀미, 항암제 부작용, 임신성 구토 등 다양한 원인의 구역 및 구토 증상을 완화하는 약물입니다. 주로 항히스타민제, 도파민 길항제, 세로토닌 수용체 길항제 등이 포함됩니다.",1.0
음성균에 작용하는 것의 정의가 뭐야?,"그람음성균에 작용하는 항생제는 대장균, 녹농균, 클렙시엘라 등 그람음성 세균 감염을 치료하기 위한 약물로, 아미노글리코사이드계, 카바페넴계, 일부 퀴놀론계 약물이 여기에 속합니다.",1.0
비타민 A 및 D제은 어떤 약이야?,"비타민 A 및 D제는 시각 기능, 피부 및 점막 유지(비타민 A), 칼슘 대사와 뼈 건강(비타민 D)에 필수적인 지용성 비타민 보충제로, 결핍 예방 및 관련 질환 치료에 사용됩니다.",1.0
당류제의 정의가 뭐야?,"당류제는 포도당(glucose), 과당(fructose), 맥아당(maltose) 등의 단당류 또는 이당류를 주요 성분으로 포함하며, 체내 에너지원 공급, 저혈당 예방 및 치료, 탈수 시 전해질 보충, 약물 운반체 등의 목적으로 사용되는 의약품입니다. 주로 경구용 시럽 또는 정맥주사용 수액 형태로 제공되며, 당질대사 이상, 수술 전후 영양공급, 간기능 저하, 저혈당 쇼크 등의 상황에서 활용됩니다. 포도당 주사제는 가장 대표적인 형태이며, 정맥영양제(TPN)에도 포함됩니다.",1.0
염모은 언제 써?,"염모제는 모발에 색을 입히기 위한 의약품 또는 의약외품으로, 산화염모제, 비산화염모제, 탈색제 등이 포함됩니다. 주로 회색 모발의 색상 개선이나 미용 목적으로 사용되며, 일부 제품은 염색 중 손상을 줄이기 위한 성분이 포함되기도 합니다.",1.0
알레르기용약은 어떤 약이야?,"히스타민 등의 알레르기 매개물질을 차단하거나 면역 반응을 조절하여 알레르기 증상(비염, 두드러기 등)을 완화하는 데 사용되는 약물입니다.",1.0
양모제의 효능은?,"양모제는 모발의 굵기 증가, 밀도 개선, 두피 건강 증진 등을 목적으로 사용되는 제품군으로, 자양강장 성분이나 생약 추출물 등이 포함되어 있습니다. 탈모를 예방하거나 보조 치료하는 데 활용됩니다.",1.0
부갑상선호르몬제,"부갑상선호르몬제는 부갑상선에서 분비되는 파라토르몬(Parathyroid Hormone, PTH) 또는 그 유사체를 포함하거나 이를 조절하여 혈중 칼슘과 인의 농도 균형을 유지하기 위해 사용되는 의약품입니다. 주요 용도는 만성 부갑상선기능저하증의 치료, 골다공증 치료(특히 폐경 후 여성 또는 고위험 환자 대상)입니다. 대표 약물로는 테리파라타이드(재조합 인간 PTH 1-34), 아발로파라타이드 등이 있으며, 뼈 형성 촉진 작용을 통해 골밀도를 개선합니다. 일반적으로 피하주사 형태로 투여됩니다.",1.0
X선조영제,"X선조영제는 방사선 촬영 시 장기, 혈관, 조직 등의 구조를 명확히 시각화하기 위해 사용하는 고요오드 함유 제제로, 진단 목적으로 주입되며 신장 기능 등에 주의가 필요합니다.",1.0
혈관확장제의 정의가 뭐야?,"혈관확장제는 혈관의 평활근을 이완시켜 혈류를 증가시키고 혈압을 낮추는 작용을 하며, 협심증, 고혈압, 심부전 등의 치료에 사용됩니다. 니트레이트계, 칼슘차단제, 알파차단제 등이 있습니다.",1.0
흥분제의 효능은?,"흥분제는 각성제와 유사하게 중추신경계를 자극하여 정신적·신체적 활력을 증가시키는 약물로, 사용 목적에 따라 집중력 강화, 무기력 개선, 피로 해소 등에 활용됩니다.",1.0
주로 그람양성균에 작용하는 것,배뇨를 촉진하거나 요로의 긴장을 완화시켜 소변 흐름을 개선하고 배뇨장애를 치료하는 데 사용되는 약물입니다.,0.0
탈모의 정의가 뭐야?,"탈모 치료제는 모낭의 기능 회복, 호르몬 조절, 혈류 개선 등을 통해 모발의 성장을 촉진하고 탈모 진행을 억제하는 약물입니다. 안드로겐성 탈모 치료에 사용되는 피나스테리드, 두피 혈류를 개선하는 미녹시딜 등이 대표적입니다.",1.0
주로 항산성균에 작용하는 것의 정의가 뭐야?,"항산성균, 특히 결핵균과 같은 미코박테리아에 특이적으로 작용하는 항균제로, 항결핵제 등 감염성 질환의 치료에 사용됩니다.",1.0
동맥경화용제,"혈관 내 콜레스테롤 축적을 억제하거나 제거하여 동맥경화를 예방 또는 치료하는 약물로, 지질강하제, 항산화제 등이 포함됩니다.",1.0
비타민제의 정의가 뭐야?,"체내 대사와 생리 기능에 필수적인 비타민을 보충하는 약물로, 결핍 예방과 치료에 사용됩니다.",1.0
비루스에 작용하는 것이란?,"바이러스 감염 질환을 치료하거나 예방하기 위해 사용되는 항바이러스제로, 인플루엔자, 헤르페스, HIV, B형 간염, C형 간염 등의 바이러스에 작용하는 약물이 포함됩니다. 작용 기전은 바이러스 복제 억제, 세포 침투 방지 등 다양합니다.",1.0
소화성궤양용제 관련 약 알려줘,"소화성궤양용제는 위산 분비를 억제하거나 점막을 보호하여 위·십이지장 궤양 및 위염을 치료하는 약물로, H2 수용체 길항제, 프로톤 펌프 억제제(PPI), 점막보호제 등이 포함됩니다.",1.0
기타의 비뇨생식기관 및 항문용약 관련 약 알려줘,"비뇨기 및 생식기, 항문에 작용하는 의약품 중 기존 분류에 속하지 않는 기타 제제로, 국소 치료나 보조적 용도로 사용됩니다.",1.0
동맥경화용제이란?,"혈관 내 콜레스테롤 축적을 억제하거나 제거하여 동맥경화를 예방 또는 치료하는 약물로, 지질강하제, 항산화제 등이 포함됩니다.",1.0
후란계 제제,"최토제는 중추 또는 말초 작용을 통해 구토 반사를 유도하는 약물로, 주로 독물 섭취 후 응급 처치로 사용됩니다. 현재는 그 사용이 제한적이며, 의료인의 판단 하에 엄격히 사용됩니다.",0.0
기타의 조직세포의 치료 및 진단,"순환계용약은 심장, 혈관, 혈압 조절 등 순환기계의 기능을 개선하거나 질환을 치료하는 약물로, 항고혈압제, 강심제, 항부정맥제, 혈관확장제 등이 포함됩니다.",0.0
부신호르몬제,"여성의 생식 주기 및 호르몬 균형을 조절하는 에스트로겐(난포호르몬)과 프로게스틴(황체호르몬)을 포함한 제제로, 갱년기 증상 치료, 피임, 월경 이상 조절, 호르몬 대체 요법 등에 사용됩니다.",0.0
피임제의 정의가 뭐야?,"피임제는 배란 억제, 자궁내막 변화, 정자 이동 억제 등을 통해 임신을 예방하는 약물로, 경구 복합호르몬제(에스트로겐 + 프로게스틴) 또는 단일 호르몬 제제로 구성됩니다.",1.0
주로 그람양성균에 작용하는 것,"그람양성균(예: 포도상구균, 연쇄상구균 등)을 표적으로 작용하는 항생제로, 페니실린계, 마크로라이드계, 글리코펩타이드계 등의 항균제가 이에 포함되며, 감염성 질환의 치료에 사용됩니다.",1.0
자양강장변질제은 언제 써?,"자양강장변질제는 체력 저하, 피로, 식욕 부진 등의 증상을 개선하기 위한 생약 또는 복합제제이며, 면역력 강화, 신진대사 촉진 등의 효과를 목표로 합니다. 인삼, 비타민류가 혼합된 제제가 많습니다.",1.0
정장제은 언제 써?,"정장제는 장내 미생물 균형 회복, 장운동 정상화, 변비·설사 등의 소화기 증상을 개선하는 약물로, 유산균제제, 지사제, 섬유소 기반 약물 등이 포함됩니다.",1.0
비루스에 작용하는 것은 언제 써?,"바이러스 감염 질환을 치료하거나 예방하기 위해 사용되는 항바이러스제로, 인플루엔자, 헤르페스, HIV, B형 간염, C형 간염 등의 바이러스에 작용하는 약물이 포함됩니다. 작용 기전은 바이러스 복제 억제, 세포 침투 방지 등 다양합니다.",1.0
기타의 항생물질제제(복합항생물질제제를 포함)이란?,"단일 항생제 외에 둘 이상의 항생성분을 조합한 복합항생제 또는 기존 분류에 속하지 않는 특수 항생물질을 포함하며, 내성균 대응 또는 시너지 효과를 목적으로 사용됩니다.",1.0
발한제은 어떤 약이야?,"체온 조절 및 해열 목적 등으로 땀의 분비를 유도하는 약물로, 전통적인 감기 치료 또는 독소 배출에 사용될 수 있습니다.",1.0
탈모 관련 약 알려줘,"탈모 치료제는 모낭의 기능 회복, 호르몬 조절, 혈류 개선 등을 통해 모발의 성장을 촉진하고 탈모 진행을 억제하는 약물입니다. 안드로겐성 탈모 치료에 사용되는 피나스테리드, 두피 혈류를 개선하는 미녹시딜 등이 대표적입니다.",1.0
구충제은 언제 써?,"구충제는 장내 또는 체내 기생하는 회충, 요충, 촌충 등의 기생충을 제거하거나 사멸시키는 약물입니다. 작용 방식은 기생충의 신경계를 마비시키거나 대사 과정을 억제하여 체외로 배출하게 합니다.",1.0
기타의 항생물질제제(복합항생물질제제를 포함),"피부연화제는 피부 각질이나 굳은살을 부드럽게 하여 제거를 용이하게 하는 제제로, 주로 요소, 살리실산 등이 포함됩니다. 부식제는 사마귀나 티눈 등 병변 조직을 화학적으로 제거하는 데 사용됩니다.",0.0
방역용 살균소독제,"장의 연동운동을 자극하거나 수분 흡수를 억제하여 배변을 촉진하는 약물로, 변비 치료에 사용됩니다.",0.0
음성균은 어떤 약이야?,"주로 그람음성균에 작용하는 항생제는 대장균, 살모넬라, 임균 등과 같은 그람음성 세균을 억제하거나 사멸시키기 위해 사용되며, 아미노글리코사이드계, 퀴놀론계, 세팔로스포린계 일부가 이에 해당합니다.",1.0
기타의 알레르기용약의 정의가 뭐야?,"기타의 알레르기용약은 히스타민 작용 억제, 면역 반응 조절 등을 통해 알레르기 증상을 완화하는 다양한 약물로, 일반 항히스타민제 이외에 면역조절제, 국소 스테로이드, 류코트리엔 길항제 등이 포함됩니다.",1.0
항악성종양제은 언제 써?,"항악성종양제는 암세포의 성장, 증식, 전이를 억제하거나 세포사를 유도하여 종양 치료에 사용되는 약물로, 세포독성 항암제, 표적치료제, 면역항암제 등으로 분류됩니다.",1.0
주로 악성종양에 작용하는 것,"‘주로 악성종양에 작용하는 것’에 해당하는 의약품은 암세포의 성장, 분열, 복제를 억제하거나 파괴하여 악성종양(암)을 치료하는 데 사용되는 항암제를 포함합니다. 이 분류는 항대사제, 알킬화제, 세포독성 항생제, 미세소관 억제제, 표적항암제 등 다양한 기전의 항암제를 포괄하며, 일반적으로 세포 주기에 영향을 주어 빠르게 분열하는 암세포를 선택적으로 공격합니다. 대표적인 약물로는 시스플라틴, 독소루비신, 파클리탁셀, 젬시타빈 등이 있으며, 고형암 및 혈액암(백혈병, 림프종 등)의 치료에 사용됩니다.",1.0
부정맥용제은 언제 써?,"심장의 전기 신호 이상으로 인한 불규칙한 박동(부정맥)을 정상화하기 위해 사용되는 약물로, 나트륨, 칼륨, 칼슘 채널 차단제 등이 포함됩니다.",1.0
피부연화제(부식제를 포함)은 어떤 약이야?,"피부연화제는 피부 각질이나 굳은살을 부드럽게 하여 제거를 용이하게 하는 제제로, 주로 요소, 살리실산 등이 포함됩니다. 부식제는 사마귀나 티눈 등 병변 조직을 화학적으로 제거하는 데 사용됩니다.",1.0
