"type_code","type_name","type_definition","item_sequence","item_name","enterprise_name","main_ingredient","main_ingredient_eng","appearance","storage_method","valid_term"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","199402941","팩슨의료용아산화질소","(주)팩슨","[M040349]아산화질소","Nitrous Oxide","무색의 가스로 냄새는 없다.  ","내압성 금속제 밀봉용기  ","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","199704367","슈프레인액(데스플루란)","주식회사박스터코리아","[M086203]데스플루란","Desflurane","무색 투명한 액이 갈색 유리병 또는 알루미늄병에 든 액제","기밀용기, 15-30℃","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200008816","세보레인흡입액(세보플루란)","한국애브비(주)","[M085441]세보플루란","Seboflurane","무색의 투명한 액체","기밀용기, 실온(1-30℃)보관","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200109981","펜토탈소디움0.5그램주(치오펜탈나트륨)(영문: ThiopentalSodiumInj. 0.5g, PentotalSodiuminj. 0.5g)","보란파마","[M040562]치오펜탈나트륨","Thiopental Sodium","황백색의 분말을 충진한 갈색 바이알"," 차광밀봉용기, 실온(1∼30℃)보관 ","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200308471","펜토탈소디움주사0.25그램(치오펜탈나트륨)","제이더블유중외제약(주)","[M040562]치오펜탈나트륨","Thiopental Sodium","황백색의 분말을 충진한 갈색 바이알","차광밀봉용기, 실온 (1∼30℃)보관","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200410460","에토미데이트리푸로주","비브라운코리아(주)","[M088929]에토미데이트","Etomidate","무색투명한 앰플에 든 백색의 유제성 주사제","밀봉용기, 차광하여 25℃이하 실온보관","제조일로부터 24 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200604139","유한케타민50주사(케타민염산염)(동물용)","(주)유한양행","[M223186]케타민염산염","Ketamine Hydrochloride","무색투명한 액이 든 무색 바이알","밀봉용기, 차광냉소보관","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200604152","휴온스케타민염산염주사(수출명:KESIAInj.,KWANGMYUNGKESIA.Inj.)","(주)휴온스","[M223186]케타민염산염","Ketamine Hydrochloride","무색투명한 액이 충전된 갈색 바이알제","차광밀봉용기, 냉소(15℃이하)보관","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200605666","제일의료용아산화질소","(주)제일가스","[M040349]아산화질소","Nitrous Oxide","이 약은 실온, 대기압에서 무색의 기체로 냄새는 없다 이 약 1mL 온도 20℃, 기압 101.3 kPa에서 물 1.5mL 또는 에탄올(95) 0.4mL에 녹고, 에테르 또는 지방유에는 녹는다. 이 약 1000mL는 0℃, 기압 101.3 kPa에서 약 1.96 g이다.","내압금속제밀봉용기, 40℃이하보관","제조일로부터 12 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200704662","박스터세보플루란흡입액","주식회사박스터코리아","[M085441]세보플루란","Seboflurane","무색의 맑은 액이 알루미늄 병에 든 흡입제","실온보관(1-30℃), 차광밀봉용기","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200705164","케토민주10밀리그람/밀리리터(염산케타민)","대한약품공업(주)","[M051460]염산케타민","Ketamine Hydrochloride","갈색 바이알에 든 무색투명한 액제","차광밀봉용기, 냉암소(15℃이하)보관","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200706924","세보프란흡입액(세보플루란)","하나제약(주)","[M085441]세보플루란","Seboflurane","무색투명한 액이 든 갈색 유리병의 액제","기밀용기, 실온(1℃～30℃)보관","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200711400","아이프란액(이소플루란)","하나제약(주)","[M081578]이소플루란","Isoflurane","무색투명한 액이 든 갈색 유리병의 액제","기밀용기, 차광보관, 15-30℃보관","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200713752","휴온스케타민염산염주사50밀리그램/밀리리터(앰플)","(주)휴온스","[M223186]케타민염산염","Ketamine Hydrochloride","무색투명한 액이 충전된 갈색 유리 앰플","차광밀봉용기, 냉소(15℃이하)보관","제조일로부터 36 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","200805905","써전흡입액(세보플루란)","(주)경보제약","[M085441]세보플루란","Seboflurane","무색투명한 액이 든 갈색 유리병의 액제","기밀용기, 실온(1-30℃)보관","제조일로부터 60 개월"
"01110","전신마취제","의식과 통증을 완전히 차단하여 외과적 수술 또는 시술 시 무의식 상태를 유도하는 약물로, 정맥 또는 흡입제로 투여됩니다.","201100954","프레조폴엠시티2%주(프로포폴)(바이알)","프레지니우스카비코리아(주)","[M082350]프로포폴","Propofol","무색투명한 바이알에 들어있는 백색의 균질한 유화액","밀봉용기, 25℃ 이하 보관","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","197000212","하나페노바르비탈정","하나제약(주)","[M040685]페노바르비탈","Phenobarbital","원형의 백색 정제","밀폐용기, 실온(1~30℃)보관","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","197100252","대원루미날주사액(주사용페노바르비탈나트륨)(수출명:루미돈주사액)","대원제약(주)","[M217088]페노바르비탈나트륨","Phenobarbital Sodium","무색의 투명한 액","밀봉용기","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198000363","한신산조인탕엑스과립","(주)한국신약","[M040006]감초|[M040007]건강|[M040139]맥문동|[M040225]복령|[M040259]산조인|[M040535]지모|[M040550]천궁","Anemarrhena Rhizome/Cnidium Rhizome/Ginger/Licorice/Liriope Tuber/Poria/Zizyphus Seed","본 품은 회갈색의 과립제이다.","기밀용기","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198300028","자미온과립(산조인탕)","(유)한풍제약","[M245466]산조인탕연조엑스(8.04→1)",NULL,"담갈색의 과립제","기밀용기, 실온(1~30℃)보관.","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198301310","라제팜정(플루니트라제팜)","환인제약(주)","[M088375]플루니트라제팜","Flunitrazepam","백색의 원형 정제","기밀용기, 실온(1~30℃)보관","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198401383","제일페노바르비탈주사액(페노바르비탈나트륨)","(주)제일제약","[M217088]페노바르비탈나트륨","Phenobarbital Sodium","무색투명한 액이 무색투명한 앰플에 든 주사제","밀봉용기","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198501814","루나팜정(플루니트라제팜)","명인제약(주)","[M088375]플루니트라제팜","Flunitrazepam","흰색의 원형 정제","밀폐용기","제조일로부터 60 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198601284","아졸정(독시라민석시네이트)","알파제약(주)","[M226319]독시라민석시네이트","Doxylamine Succinate","연한 청색의 타원형정제이다.  ","차광,밀폐용기.  ","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198701478","자비론정(독시라민숙신산염)","(주)씨엠지제약","[M250452]독시라민숙신산염","Doxylamine Succinate","연청색의 타원형정제","차광기밀용기, 실온(1∼30℃)보관","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198802479","스메르정(독시라민숙신산염)","지엘파마(주)","[M250452]독시라민숙신산염","Doxylamine Succinate","흰색의 타원형 정제","기밀용기,실온보관(1~30℃)보관","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198802975","엔토발주100밀리그램(펜토바르비탈나트륨)","한림제약(주)","[M040700]펜토바르비탈나트륨","Pentobarbital Sodium","무색 액이 든 무색 투명한 앰플제","밀봉용기, 실온보관(1~30℃)","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198900711","아론정(독시라민숙신산염)","알리코제약(주)","[M250452]독시라민숙신산염","Doxylamine Succinate","흰색의 타원형 필름코팅정","차광밀폐용기, 실온(1~30℃)보관","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198901455","신텍스산조인탕엑스과립","한국신텍스제약(주)","[M040006]감초|[M040225]복령|[M040535]지모|[M040550]천궁|[M225911]산조인","Anemarrhena Rhizome/Cnidium Rhizome/Licorice/Poria/Zizyphus Seed","회갈색의 과립제","기밀용기","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198902794","트리람정0.25밀리그램(트리아졸람)","환인제약(주)","[M088380]트리아졸람","Triazolam","담청색의 타원형 정제","차광기밀용기, 실온(1∼30℃)보관","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198902801","졸민정0.125밀리그램(트리아졸람)","명인제약(주)","[M088380]트리아졸람","Triazolam","보라색의 타원형 정제","차광기밀용기, 실온보관(1~30℃)","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198902802","졸민정0.25밀리그램(트리아졸람)","명인제약(주)","[M088380]트리아졸람","Triazolam","파란색의 타원형 정제","차광기밀용기, 실온보관(1~30℃)","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","198902804","포크랄시럽(포수클로랄)","한림제약(주)","[M220531]포수클로랄","Chloral Hydrate","무색 혹은 미황색의 투명한 시럽제","차광기밀용기, 실온보관(1~30℃)","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","199002349","자믹정(독시라민숙신산염)","삼익제약(주)","[M250452]독시라민숙신산염","Doxylamine Succinate","담청색의 원형정제  ","기밀용기  실온보관","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","199102275","포린피아정(독시라민숙신산염)","(주)한국파비스제약","[M250452]독시라민숙신산염","Doxylamine Succinate","연청색의 타원형 정제","차광기밀용기, 실온(1~30℃)보관 ","제조일로부터 36 개월"
"01120","최면진정제","최면진정제는 중추신경계의 활동을 억제하여 불안, 긴장, 불면증 등의 증상을 완화하거나 수면을 유도하는 약물입니다. 벤조디아제핀계, 비벤조디아제핀계, 항히스타민계 약물 등이 여기에 포함되며, 수면유도제 또는 진정제로 임상에서 사용됩니다.","199403283","대원페노바르비탈정100밀리그람(수출용)","대원제약(주)","[M040685]페노바르비탈","Phenobarbital","백색의 원형 정제  ","기밀용기  ","제조일로부터 36 개월"
"01130","항전간제","항전간제는 뇌의 과도한 신경 흥분을 억제하여 발작(경련)을 예방하거나 조절하기 위해 사용하는 약물입니다. 뇌전증(간질)의 다양한 유형(부분발작, 전신발작 등)에 따라 작용 기전과 선택 약물이 다르며, 신경세포의 흥분성 신경전달물질(GABA, 글루탐산 등)의 균형을 조절하는 기전으로 작용합니다. 대표 약물에는 페니토인, 발프로산, 카르바마제핀, 라모트리진, 레비티라세탐 등이 있으며, 발작 외에도 삼차신경통, 양극성 장애, 편두통 예방 등의 적응증에 사용되기도 합니다.","197000104","부광페니토인캡슐100밀리그램","부광약품(주)","[M051706]페니토인","Phenytoin","백색의 캅셀내 백색분말임","기밀용기","제조일로부터 60 개월"
"01130","항전간제","항전간제는 뇌의 과도한 신경 흥분을 억제하여 발작(경련)을 예방하거나 조절하기 위해 사용하는 약물입니다. 뇌전증(간질)의 다양한 유형(부분발작, 전신발작 등)에 따라 작용 기전과 선택 약물이 다르며, 신경세포의 흥분성 신경전달물질(GABA, 글루탐산 등)의 균형을 조절하는 기전으로 작용합니다. 대표 약물에는 페니토인, 발프로산, 카르바마제핀, 라모트리진, 레비티라세탐 등이 있으며, 발작 외에도 삼차신경통, 양극성 장애, 편두통 예방 등의 적응증에 사용되기도 합니다.","197500285","환인히단토인정(페니토인)","환인제약(주)","[M051706]페니토인","Phenytoin","백색원형의 정제임.  ","차광밀폐용기, 실온(1~30℃) 보관","제조일로부터 36 개월"
"01130","항전간제","항전간제는 뇌의 과도한 신경 흥분을 억제하여 발작(경련)을 예방하거나 조절하기 위해 사용하는 약물입니다. 뇌전증(간질)의 다양한 유형(부분발작, 전신발작 등)에 따라 작용 기전과 선택 약물이 다르며, 신경세포의 흥분성 신경전달물질(GABA, 글루탐산 등)의 균형을 조절하는 기전으로 작용합니다. 대표 약물에는 페니토인, 발프로산, 카르바마제핀, 라모트리진, 레비티라세탐 등이 있으며, 발작 외에도 삼차신경통, 양극성 장애, 편두통 예방 등의 적응증에 사용되기도 합니다.","198000160","대웅프리미돈정","(주)대웅제약","[M040736]프리미돈","Primidone","이약은 백색정제이다.","기밀용기","제조일로부터 36 개월"
"01130","항전간제","항전간제는 뇌의 과도한 신경 흥분을 억제하여 발작(경련)을 예방하거나 조절하기 위해 사용하는 약물입니다. 뇌전증(간질)의 다양한 유형(부분발작, 전신발작 등)에 따라 작용 기전과 선택 약물이 다르며, 신경세포의 흥분성 신경전달물질(GABA, 글루탐산 등)의 균형을 조절하는 기전으로 작용합니다. 대표 약물에는 페니토인, 발프로산, 카르바마제핀, 라모트리진, 레비티라세탐 등이 있으며, 발작 외에도 삼차신경통, 양극성 장애, 편두통 예방 등의 적응증에 사용되기도 합니다.","198000300","삼진페니토인나트륨주사250밀리그램","삼진제약(주)","[M051707]페니토인나트륨","Phenytoin Sodium","무색투명한 액이 충진된 갈색 앰플제","밀봉용기,차광보존","제조일로부터 36 개월"
"01130","항전간제","항전간제는 뇌의 과도한 신경 흥분을 억제하여 발작(경련)을 예방하거나 조절하기 위해 사용하는 약물입니다. 뇌전증(간질)의 다양한 유형(부분발작, 전신발작 등)에 따라 작용 기전과 선택 약물이 다르며, 신경세포의 흥분성 신경전달물질(GABA, 글루탐산 등)의 균형을 조절하는 기전으로 작용합니다. 대표 약물에는 페니토인, 발프로산, 카르바마제핀, 라모트리진, 레비티라세탐 등이 있으며, 발작 외에도 삼차신경통, 양극성 장애, 편두통 예방 등의 적응증에 사용되기도 합니다.","198000301","에필람정(발프로산나트륨)","삼진제약(주)","[M070676]발프로산나트륨","Sodium Valproate","황색의 장용피정  ","차광기밀용기 (30℃이하 보관)","제조일로부터 36 개월"
"01130","항전간제","항전간제는 뇌의 과도한 신경 흥분을 억제하여 발작(경련)을 예방하거나 조절하기 위해 사용하는 약물입니다. 뇌전증(간질)의 다양한 유형(부분발작, 전신발작 등)에 따라 작용 기전과 선택 약물이 다르며, 신경세포의 흥분성 신경전달물질(GABA, 글루탐산 등)의 균형을 조절하는 기전으로 작용합니다. 대표 약물에는 페니토인, 발프로산, 카르바마제핀, 라모트리진, 레비티라세탐 등이 있으며, 발작 외에도 삼차신경통, 양극성 장애, 편두통 예방 등의 적응증에 사용되기도 합니다.","198100305","삼진페니토인나트륨주사100밀리그램","삼진제약(주)","[M051707]페니토인나트륨","Phenytoin Sodium","무색투명한 액이 충진된 갈색앰플제","밀봉용기,차광보존","제조일로부터 36 개월"
"01130","항전간제","항전간제는 뇌의 과도한 신경 흥분을 억제하여 발작(경련)을 예방하거나 조절하기 위해 사용하는 약물입니다. 뇌전증(간질)의 다양한 유형(부분발작, 전신발작 등)에 따라 작용 기전과 선택 약물이 다르며, 신경세포의 흥분성 신경전달물질(GABA, 글루탐산 등)의 균형을 조절하는 기전으로 작용합니다. 대표 약물에는 페니토인, 발프로산, 카르바마제핀, 라모트리진, 레비티라세탐 등이 있으며, 발작 외에도 삼차신경통, 양극성 장애, 편두통 예방 등의 적응증에 사용되기도 합니다.","198100651","페니톤주(페니토인나트륨)(수출용)","한림제약(주)","[M051707]페니토인나트륨","Phenytoin Sodium","본품은 무색투명한 액을 함유한 갈색의 앰플제","차광한 밀봉용기                                               ","제조일로부터 36 개월"
